tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-02-24,DKI2 (Kelapa Gading),0.1764705882352941,0.12337662337662339,0.5873015873015872,0.38095238095238093,0.5,0.17647058823529413,40,SO2,BAIK
2021-02-25,DKI2 (Kelapa Gading),0.1764705882352941,0.16233766233766236,0.6349206349206349,0.47619047619047616,0.74,0.2352941176470588,45,PM25,BAIK
2021-02-26,DKI2 (Kelapa Gading),0.35294117647058826,0.22077922077922077,0.6349206349206349,0.5238095238095238,0.4,0.4411764705882353,54,PM25,SEDANG
2021-02-27,DKI2 (Kelapa Gading),0.5176470588235293,0.3311688311688312,0.6507936507936507,0.619047619047619,0.84,0.47058823529411764,71,PM25,SEDANG
2021-02-01,DKI3 (Jagakarsa),0.6823529411764706,0.5844155844155844,0.3968253968253968,0.7619047619047619,0.36,0.4117647058823529,110,PM25,TIDAK SEHAT
2021-02-02,DKI3 (Jagakarsa),0.4470588235294118,0.3246753246753247,0.3492063492063492,0.38095238095238093,0.38,0.2941176470588235,70,PM25,SEDANG
2021-02-07,DKI3 (Jagakarsa),0.21176470588235297,0.1948051948051948,0.3333333333333333,0.3333333333333333,0.43999999999999995,0.2647058823529411,50,PM25,BAIK
2021-02-08,DKI3 (Jagakarsa),0.1294117647058824,0.14285714285714288,0.3333333333333333,0.3333333333333333,0.54,0.2352941176470588,42,PM25,BAIK
2021-02-21,DKI3 (Jagakarsa),0.1647058823529412,0.14285714285714288,0.3333333333333333,0.23809523809523808,0.43999999999999995,0.14705882352941177,42,PM25,BAIK
2021-02-22,DKI3 (Jagakarsa),0.6235294117647059,0.538961038961039,0.36507936507936506,0.9523809523809522,0.43999999999999995,0.2941176470588235,103,PM25,TIDAK SEHAT
2021-02-23,DKI3 (Jagakarsa),0.6000000000000001,0.4545454545454546,0.36507936507936506,0.47619047619047616,0.41999999999999993,0.3529411764705882,90,PM25,SEDANG
2021-02-25,DKI3 (Jagakarsa),0.1411764705882353,0.22077922077922077,0.3492063492063492,0.19047619047619047,0.31999999999999995,0.08823529411764705,54,PM25,SEDANG
2021-02-05,DKI4 (Lubang Buaya),0.047058823529411764,0.13636363636363638,0.5873015873015872,0.47619047619047616,0.24000000000000002,0.14705882352941177,41,PM25,BAIK
2021-02-06,DKI4 (Lubang Buaya),0.03529411764705884,0.1818181818181818,0.5873015873015872,0.23809523809523808,0.4,0.05882352941176469,48,PM25,BAIK
2021-02-07,DKI4 (Lubang Buaya),0.11764705882352944,0.22727272727272727,0.5873015873015872,0.38095238095238093,0.28,0.2058823529411765,55,PM25,SEDANG
2021-02-08,DKI4 (Lubang Buaya),0.02352941176470591,0.15584415584415587,0.5714285714285714,0.38095238095238093,0.26,0.14705882352941177,44,PM25,BAIK
2021-02-09,DKI4 (Lubang Buaya),0.18823529411764706,0.24025974025974026,0.5873015873015872,0.5238095238095238,0.22,0.14705882352941177,57,PM25,SEDANG
2021-02-10,DKI4 (Lubang Buaya),0.1764705882352941,0.24675324675324675,0.5873015873015872,0.5238095238095238,0.24000000000000002,0.11764705882352941,58,PM25,SEDANG
2021-02-11,DKI4 (Lubang Buaya),0.07058823529411767,0.1948051948051948,0.5873015873015872,0.23809523809523808,0.16,0.02941176470588236,50,PM25,BAIK
2021-02-12,DKI4 (Lubang Buaya),0.21176470588235297,0.29220779220779225,0.5873015873015872,0.47619047619047616,0.22,0.02941176470588236,65,PM25,SEDANG
2021-02-13,DKI4 (Lubang Buaya),0.32941176470588235,0.2727272727272727,0.5873015873015872,0.4285714285714285,0.33999999999999997,0.14705882352941177,62,PM25,SEDANG
2021-02-14,DKI4 (Lubang Buaya),0.22352941176470592,0.24025974025974026,0.5714285714285714,0.4285714285714285,0.36,0.14705882352941177,57,PM25,SEDANG
2021-02-21,DKI4 (Lubang Buaya),0.07058823529411767,0.1948051948051948,0.5714285714285714,0.38095238095238093,0.30000000000000004,0.17647058823529413,50,PM25,BAIK
2021-02-22,DKI4 (Lubang Buaya),0.5176470588235293,0.487012987012987,0.5873015873015872,0.9047619047619048,0.33999999999999997,0.2352941176470588,95,PM25,SEDANG
2021-02-23,DKI4 (Lubang Buaya),0.4235294117647059,0.40909090909090906,0.5873015873015872,0.6666666666666666,0.31999999999999995,0.2058823529411765,83,PM25,SEDANG
2021-02-24,DKI4 (Lubang Buaya),0.31764705882352945,0.26623376623376627,0.5714285714285714,0.3333333333333333,0.1,0.05882352941176469,61,PM25,SEDANG
2021-02-25,DKI4 (Lubang Buaya),0.011764705882352955,0.16233766233766236,0.5714285714285714,0.3333333333333333,0.22,0.0,45,PM25,BAIK
2021-02-26,DKI4 (Lubang Buaya),0.38823529411764707,0.3571428571428572,0.5714285714285714,0.4285714285714285,0.30000000000000004,0.2647058823529411,75,PM25,SEDANG
2021-02-27,DKI4 (Lubang Buaya),0.5176470588235293,0.48051948051948057,0.5873015873015872,0.5238095238095238,0.43999999999999995,0.2352941176470588,94,PM25,SEDANG
2021-02-28,DKI4 (Lubang Buaya),0.6235294117647059,0.6038961038961039,0.5714285714285714,0.7619047619047619,0.31999999999999995,0.2941176470588235,113,PM25,TIDAK SEHAT
2021-02-02,DKI5 (Kebon Jeruk) Jakarta Barat,0.4823529411764706,0.22727272727272727,0.3968253968253968,0.3333333333333333,0.12000000000000002,0.6176470588235293,55,PM25,SEDANG
2021-02-03,DKI5 (Kebon Jeruk) Jakarta Barat,0.09411764705882353,0.12987012987012989,0.38095238095238093,0.14285714285714285,0.16,0.17647058823529413,40,PM25,BAIK
2021-02-04,DKI5 (Kebon Jeruk) Jakarta Barat,0.2,0.2532467532467533,0.3968253968253968,0.3333333333333333,0.12000000000000002,0.38235294117647056,59,PM25,SEDANG
2021-02-05,DKI5 (Kebon Jeruk) Jakarta Barat,0.4823529411764706,0.1818181818181818,0.3968253968253968,0.2857142857142857,0.12000000000000002,0.9117647058823528,48,PM25,BAIK
2021-02-06,DKI5 (Kebon Jeruk) Jakarta Barat,0.4823529411764706,0.09090909090909091,0.2857142857142857,0.09523809523809523,0.31999999999999995,0.05882352941176469,34,PM25,BAIK
2021-02-07,DKI5 (Kebon Jeruk) Jakarta Barat,0.4823529411764706,0.05844155844155843,0.30158730158730157,0.14285714285714285,0.24000000000000002,0.08823529411764705,29,PM25,BAIK
2021-02-08,DKI5 (Kebon Jeruk) Jakarta Barat,0.4823529411764706,0.13636363636363638,0.31746031746031744,0.19047619047619047,0.18000000000000002,0.2058823529411765,41,PM25,BAIK
2021-02-09,DKI5 (Kebon Jeruk) Jakarta Barat,0.4823529411764706,0.24025974025974026,0.4444444444444444,0.3333333333333333,0.13999999999999999,0.5,57,PM25,SEDANG
2021-02-10,DKI5 (Kebon Jeruk) Jakarta Barat,0.18823529411764706,0.20779220779220778,0.38095238095238093,0.23809523809523808,0.1,0.2058823529411765,52,PM25,SEDANG
2021-02-11,DKI5 (Kebon Jeruk) Jakarta Barat,0.09411764705882353,0.1948051948051948,0.5238095238095237,0.19047619047619047,0.04000000000000001,0.2647058823529411,50,PM25,BAIK
2021-02-16,DKI5 (Kebon Jeruk) Jakarta Barat,0.10588235294117648,0.09740259740259741,0.2857142857142857,0.23809523809523808,0.28,0.14705882352941177,35,PM25,BAIK
2021-02-24,DKI5 (Kebon Jeruk) Jakarta Barat,0.10588235294117648,0.12987012987012989,0.3968253968253968,0.09523809523809523,0.06,0.08823529411764705,40,PM25,BAIK
2021-02-25,DKI5 (Kebon Jeruk) Jakarta Barat,0.15294117647058825,0.20779220779220778,0.4444444444444444,0.23809523809523808,0.1,0.5588235294117647,52,PM25,SEDANG
2021-02-26,DKI5 (Kebon Jeruk) Jakarta Barat,0.10588235294117648,0.1883116883116883,0.2857142857142857,0.23809523809523808,0.28,0.4117647058823529,49,PM25,BAIK
2021-02-27,DKI5 (Kebon Jeruk) Jakarta Barat,0.2823529411764706,0.2857142857142857,0.38095238095238093,0.38095238095238093,0.33999999999999997,0.588235294117647,64,PM25,SEDANG
2021-02-28,DKI5 (Kebon Jeruk) Jakarta Barat,0.411764705882353,0.3701298701298701,0.30158730158730157,0.3333333333333333,0.28,0.2647058823529411,77,PM25,SEDANG
2021-03-01,DKI1 (Bunderan HI),0.25882352941176473,0.2597402597402597,0.2698412698412698,0.47619047619047616,0.07999999999999999,0.38235294117647056,60,PM25,SEDANG
2021-03-02,DKI1 (Bunderan HI),0.27058823529411763,0.22727272727272727,0.2698412698412698,0.619047619047619,0.12000000000000002,0.7058823529411764,55,PM25,SEDANG
2021-03-09,DKI1 (Bunderan HI),0.24705882352941178,0.1948051948051948,0.31746031746031744,0.619047619047619,0.04000000000000001,0.5294117647058824,50,PM25,BAIK
2021-03-10,DKI1 (Bunderan HI),0.35294117647058826,0.29220779220779225,0.2698412698412698,0.8571428571428571,0.12000000000000002,0.676470588235294,65,PM25,SEDANG
2021-03-11,DKI1 (Bunderan HI),0.1411764705882353,0.09740259740259741,0.25396825396825395,0.3333333333333333,0.13999999999999999,0.5,35,PM25,BAIK
2021-03-24,DKI1 (Bunderan HI),0.2,0.21428571428571427,0.2857142857142857,0.38095238095238093,0.01999999999999999,0.32352941176470584,53,PM25,SEDANG
2021-03-25,DKI1 (Bunderan HI),0.11764705882352944,0.17532467532467536,0.30158730158730157,0.3333333333333333,0.12000000000000002,0.38235294117647056,47,PM25,BAIK
2021-03-11,DKI2 (Kelapa Gading),0.27058823529411763,0.1948051948051948,0.36507936507936506,0.3333333333333333,0.7,0.14705882352941177,50,PM25,BAIK
2021-03-08,DKI3 (Jagakarsa),0.4470588235294118,0.3701298701298701,0.3968253968253968,0.4285714285714285,0.19999999999999998,0.17647058823529413,77,PM25,SEDANG
